User_ID,Age,Gender,Platform,Daily_Usage_Time_min,Posts_Per_Day,Likes_Received_Daily,Comments_Received_Daily,Messages_Sent_Daily,Scroll_Rate_ppm,Addiction_Level,Emotional_State_Post_Usage,Productivity_Loss_Score,Mental_Health_Index,FOMO_Score
1616,26.0,Female,instagram,161.0,16.0,492,75,53,23,high,Envious,6,36.0,7.0
1500,,MALE,instagram,,,483,38,95,116,moderate,Calm,3,,
1666,39.0,Male,FACEBOOK,150.0,13.0,425,85,36,38,High,Stressed,8,45.0,6.0
1585,,NON-BINARY,YOUTUBE,,,256,15,8,12,High,Anxious,8,,
1110,21.0,NON-BINARY,Twitter,59.0,1.0,5,48,4,66,low,Happy,1,90.0,1.0
1917,50.0,Non-Binary,INSTAGRAM,659.0,14.0,366,69,96,47,SEVERE,DEPRESSED,8,41.0,8.0
1651,58.0,,,276.0,11.0,269,17,84,77,HIGH,,8,51.0,6.0
1534,56.0,NON-BINARY,instagram,214.0,7.0,269,27,36,41,high,Stressed,8,46.0,8.0
1446,31.0,Male,TIKTOK,78.0,2.0,135,29,135,20,moderate,Calm,4,77.0,4.0
1606,49.0,NON-BINARY,instagram,273.0,8.0,332,51,33,64,High,Stressed,6,54.0,8.0
1137,,NON-BINARY,INSTAGRAM,,,290,91,24,63,LOW,Inspired,1,,
1812,,F,Instagram,,,488,96,125,119,severe,Anxious,9,,
1515,33.0,M,TIKTOK,2000.0,14.0,160,7,47,40,High,Envious,8,40.0,8.0
1754,59.0,FEMALE,FACEBOOK,596.0,19.0,22,38,38,97,severe,Anxious,8,29.0,9.0
1159,56.0,NON-BINARY,Twitter,10.0,0.0,418,36,137,114,low,Happy,3,74.0,3.0
1311,22.0,Female,YouTube,134.0,3.0,109,52,27,105,moderate,Calm,4,65.0,5.0
1328,19.0,male,instagram,68.0,2.0,238,0,35,104,MODERATE,Calm,4,65.0,5.0
1722,40.0,MALE,YOUTUBE,243.0,5.0,81,78,131,92,high,Stressed,7,49.0,8.0
1936,33.0,male,Facebook,674.0,18.0,485,2,52,40,Severe,Depressed,9,42.0,8.0
1255,53.0,male,YOUTUBE,109.0,5.0,346,66,24,18,Moderate,NEUTRAL,3,60.0,5.0
1276,56.0,F,INSTAGRAM,95.0,2.0,321,36,87,80,moderate,Neutral,3,72.0,4.0
1902,,F,YOUTUBE,,,454,69,107,75,Severe,Stressed,8,,
1185,52.0,male,YouTube,51.0,0.0,326,68,19,31,low,Inspired,3,71.0,1.0
1583,43.0,FEMALE,instagram,290.0,17.0,470,24,24,100,high,Stressed,7,53.0,8.0
1661,,F,INSTAGRAM,,,215,63,5,16,High,ANXIOUS,6,,
1897,40.0,  F  ,  instagram  ,626.0,23.0,96,8,9,57,severe,Depressed,9,23.0,9.0
1210,,M,instagram,,,382,17,6,82,Low,Calm,1,,
1169,24.0,,,7.0,2.0,210,44,78,97,Low,,1,97.0,3.0
1867,,F,TIKTOK,,,31,46,72,110,Severe,Depressed,8,,
1281,,FEMALE,TikTok,,,327,63,118,62,MODERATE,Calm,4,,
1907,29.0,,,552.0,23.0,21,56,71,92,Severe,,8,27.0,8.0
1542,34.0,F,Snapchat,276.0,13.0,404,87,55,43,high,Envious,7,39.0,7.0
1056,52.0,  NON-BINARY  ,  Instagram  ,19.0,1.0,440,37,126,14,LOW,Motivated,2,78.0,1.0
1121,56.0,NON-BINARY,YouTube,14.0,0.0,433,38,94,61,Low,Inspired,1,80.0,3.0
1555,43.0,FEMALE,TIKTOK,175.0,16.0,357,29,112,111,High,Anxious,7,42.0,6.0
1026,17.0,,,39.0,2.0,454,0,67,100,Low,,1,71.0,3.0
1073,54.0,Female,instagram,22.0,0.0,348,65,70,28,Low,Calm,3,76.0,3.0
1539,29.0,female,LinkedIn,197.0,13.0,37,63,50,65,high,Envious,8,44.0,8.0
1045,47.0,female,Facebook,54.0,0.0,387,95,120,75,LOW,Happy,2,96.0,2.0
1498,29.0,male,Facebook,73.0,5.0,216,23,60,100,MODERATE,Bored,3,60.0,4.0
1199,,M,FACEBOOK,,,85,69,82,7,LOW,Happy,3,,
1378,21.0,FEMALE,TikTok,103.0,4.0,437,35,135,8,MODERATE,Bored,4,68.0,3.0
1315,21.0,female,INSTAGRAM,71.0,1.0,399,0,44,62,Moderate,Bored,3,58.0,4.0
1719,51.0,female,YouTube,280.0,7.0,342,86,18,76,High,Envious,7,49.0,7.0
1209,45.0,Male,TikTok,6.0,0.0,120,59,11,108,low,Motivated,1,90.0,1.0
1722,40.0,MALE,YOUTUBE,243.0,5.0,81,78,131,92,high,Stressed,7,49.0,8.0
1919,42.0,M,Pinterest,644.0,16.0,239,99,149,67,severe,DEPRESSED,8,40.0,9.0
1536,51.0,FEMALE,INSTAGRAM,282.0,15.0,332,36,3,63,high,ANXIOUS,6,54.0,7.0
1696,49.0,female,YOUTUBE,210.0,12.0,354,35,41,65,high,ANXIOUS,7,46.0,7.0
1605,,NON-BINARY,LinkedIn,,,256,35,66,85,High,Envious,8,,
1591,,,,,,43,59,24,6,high,,8,,
1291,22.0,F,FACEBOOK,75.0,2.0,327,44,32,98,Moderate,Bored,3,61.0,4.0
1960,42.0,female,Snapchat,506.0,26.0,420,91,0,17,Severe,Stressed,9,24.0,9.0
1333,51.0,F,Pinterest,141.0,6.0,442,30,4,31,MODERATE,NEUTRAL,5,68.0,3.0
1211,,male,Snapchat,,,148,48,109,83,LOW,Calm,1,,
1343,31.0,NON-BINARY,FACEBOOK,144.0,4.0,238,70,54,107,moderate,Bored,5,69.0,5.0
1061,51.0,,,26.0,2.0,231,7,149,70,LOW,,3,81.0,1.0
1345,16.0,NON-BINARY,INSTAGRAM,70.0,4.0,139,22,98,37,moderate,Calm,4,67.0,3.0
1891,45.0,Female,TIKTOK,713.0,26.0,437,6,91,102,SEVERE,DEPRESSED,8,36.0,8.0
1712,35.0,F,Snapchat,294.0,7.0,202,24,34,19,HIGH,Envious,8,49.0,6.0
1468,59.0,female,Twitter,121.0,4.0,33,11,114,106,Moderate,Bored,3,70.0,3.0
1424,52.0,Female,Pinterest,139.0,6.0,305,56,59,50,Moderate,Neutral,4,67.0,3.0
1260,41.0,Male,instagram,65.0,2.0,394,78,40,94,MODERATE,Calm,3,57.0,5.0
1781,26.0,Non-Binary,instagram,510.0,23.0,260,0,70,103,severe,Stressed,8,36.0,8.0
1406,44.0,Non-Binary,Facebook,95.0,6.0,72,57,0,27,Moderate,Calm,5,56.0,3.0
1789,13.0,Non-Binary,TIKTOK,518.0,15.0,223,32,12,98,SEVERE,Anxious,9,39.0,8.0
1768,56.0,M,YOUTUBE,632.0,22.0,322,98,106,87,SEVERE,DEPRESSED,8,27.0,9.0
1484,26.0,M,Pinterest,143.0,2.0,1,67,106,116,moderate,NEUTRAL,4,62.0,4.0
1531,21.0,female,TikTok,1500.0,9.0,481,66,37,18,HIGH,Envious,6,38.0,8.0
1811,20.0,Female,Instagram,306.0,21.0,284,12,42,46,severe,Stressed,8,35.0,9.0
2000,28.0,female,Facebook,668.0,19.0,213,58,22,24,severe,Stressed,9,31.0,9.0
1967,39.0,F,Pinterest,641.0,19.0,174,0,123,83,severe,Depressed,8,43.0,8.0
1111,17.0,MALE,FACEBOOK,32.0,0.0,397,11,46,87,Low,Happy,2,88.0,1.0
1996,57.0,FEMALE,YouTube,642.0,20.0,149,73,28,45,Severe,DEPRESSED,8,25.0,9.0
1559,23.0,female,YouTube,291.0,5.0,359,53,57,91,High,Anxious,8,53.0,8.0
1794,37.0,Female,instagram,450.0,17.0,486,73,58,76,SEVERE,Stressed,9,36.0,8.0
1937,26.0,Non-Binary,FACEBOOK,564.0,17.0,389,15,131,17,severe,Stressed,9,21.0,9.0
1920,26.0,male,TikTok,512.0,27.0,246,51,108,5,SEVERE,Stressed,8,35.0,8.0
1943,17.0,male,YouTube,636.0,17.0,427,65,78,24,Severe,Stressed,9,41.0,9.0
1320,,,,,,357,26,44,106,Moderate,,4,,
1517,51.0,male,FACEBOOK,222.0,15.0,256,8,129,20,high,Anxious,6,43.0,7.0
1450,16.0,Male,Instagram,80.0,6.0,237,56,29,7,moderate,Calm,4,72.0,5.0
1784,41.0,male,INSTAGRAM,579.0,29.0,155,35,12,47,Severe,DEPRESSED,8,41.0,8.0
1594,52.0,female,Twitter,151.0,13.0,221,99,61,73,High,Anxious,7,58.0,8.0
1910,33.0,  Non-Binary  ,  YOUTUBE  ,9999.0,27.0,90,69,7,49,SEVERE,Depressed,9,26.0,8.0
1744,51.0,NON-BINARY,INSTAGRAM,190.0,10.0,442,91,109,109,High,Stressed,7,49.0,6.0
1138,26.0,NON-BINARY,YOUTUBE,29.0,0.0,297,69,61,107,Low,Happy,3,75.0,2.0
1800,14.0,Female,instagram,428.0,27.0,100,92,20,112,severe,Depressed,8,23.0,8.0
1934,25.0,Female,instagram,639.0,18.0,249,83,13,32,SEVERE,Depressed,8,28.0,9.0
1823,19.0,F,Snapchat,347.0,12.0,152,11,14,71,severe,DEPRESSED,9,37.0,9.0
1766,16.0,Male,LinkedIn,574.0,27.0,51,54,110,13,severe,Anxious,8,24.0,8.0
1262,,FEMALE,TikTok,,,155,77,19,55,Moderate,Bored,3,,
1568,16.0,Non-Binary,Snapchat,194.0,5.0,166,64,129,20,high,Anxious,7,45.0,8.0
1833,38.0,Male,FACEBOOK,301.0,21.0,286,39,149,75,SEVERE,Depressed,8,41.0,9.0
1382,27.0,Non-Binary,Instagram,81.0,2.0,82,7,118,95,moderate,Bored,5,76.0,3.0
1334,29.0,Female,LinkedIn,71.0,6.0,31,21,88,80,MODERATE,Bored,5,60.0,4.0
1537,17.0,M,TikTok,216.0,16.0,349,67,69,99,High,Anxious,7,53.0,8.0
1352,56.0,M,FACEBOOK,140.0,2.0,138,52,123,87,MODERATE,Calm,5,66.0,3.0
1786,47.0,NON-BINARY,FACEBOOK,667.0,23.0,75,62,61,112,SEVERE,DEPRESSED,9,22.0,9.0
1452,17.0,MALE,Instagram,99.0,7.0,480,40,14,55,MODERATE,Bored,4,74.0,4.0
1079,42.0,male,instagram,45.0,2.0,76,9,114,39,low,Happy,2,77.0,1.0
1030,35.0,MALE,YouTube,45.0,0.0,361,31,101,43,Low,Inspired,2,97.0,1.0
1713,21.0,M,Instagram,211.0,12.0,65,89,29,26,High,Envious,7,41.0,6.0
1278,,,,,,47,55,91,87,Moderate,,5,,
1248,57.0,Non-Binary,Twitter,27.0,0.0,180,90,45,95,low,Inspired,1,79.0,2.0
1658,42.0,Male,YouTube,153.0,9.0,237,37,104,29,High,Anxious,6,47.0,6.0
1307,19.0,Female,LinkedIn,105.0,5.0,70,38,100,83,moderate,Bored,5,66.0,4.0
1166,45.0,Male,Facebook,17.0,0.0,325,41,118,16,low,Calm,1,73.0,2.0
1817,29.0,  male  ,  TIKTOK  ,576.0,18.0,62,43,98,59,severe,Anxious,8,38.0,9.0
1179,56.0,Non-Binary,YOUTUBE,57.0,2.0,342,74,42,81,low,Calm,2,89.0,1.0
1486,28.0,MALE,YouTube,105.0,7.0,246,19,98,22,moderate,Bored,3,77.0,4.0
1066,31.0,Non-Binary,Instagram,18.0,2.0,360,39,59,70,LOW,Motivated,3,92.0,3.0
1142,50.0,F,Snapchat,14.0,0.0,37,2,40,102,LOW,Calm,2,85.0,2.0
1437,27.0,F,YOUTUBE,122.0,1.0,468,93,94,28,Moderate,Calm,3,56.0,5.0
1523,47.0,Male,YouTube,268.0,11.0,261,99,87,51,HIGH,ANXIOUS,7,47.0,6.0
1845,17.0,MALE,TIKTOK,427.0,12.0,341,28,118,49,SEVERE,Depressed,9,40.0,9.0
1421,29.0,NON-BINARY,Facebook,62.0,7.0,53,6,110,64,MODERATE,Bored,5,66.0,5.0
1405,44.0,male,Snapchat,128.0,4.0,409,2,129,48,Moderate,Neutral,4,55.0,3.0
1680,51.0,FEMALE,TIKTOK,161.0,16.0,356,45,79,92,HIGH,ANXIOUS,6,56.0,6.0
1266,25.0,F,Facebook,121.0,6.0,362,58,140,56,moderate,Bored,4,63.0,4.0
1880,,,,,,173,54,125,67,Severe,,9,,
1293,,  female  ,  YouTube  ,,,32,60,135,78,MODERATE,Calm,5,,
1222,,Female,YOUTUBE,,,260,88,72,50,LOW,Inspired,2,,
1828,56.0,Non-Binary,FACEBOOK,692.0,20.0,251,92,116,20,Severe,Depressed,8,37.0,9.0
1236,,M,Pinterest,,,123,94,106,116,Low,Motivated,2,,
1526,13.0,MALE,TikTok,234.0,6.0,451,76,25,102,High,Envious,8,44.0,7.0
1193,42.0,MALE,TIKTOK,38.0,2.0,82,8,80,27,Low,Motivated,1,96.0,3.0
1322,20.0,MALE,LinkedIn,139.0,4.0,275,39,111,78,Moderate,Neutral,4,77.0,5.0
1050,22.0,female,Instagram,45.0,1.0,28,44,0,89,low,Motivated,1,81.0,1.0
1892,54.0,Male,YOUTUBE,674.0,13.0,401,65,117,111,Severe,DEPRESSED,8,21.0,8.0
1003,25.0,MALE,TIKTOK,45.0,0.0,47,27,62,106,low,Calm,3,95.0,1.0
1818,31.0,Male,INSTAGRAM,532.0,10.0,121,11,42,35,severe,DEPRESSED,8,35.0,9.0
1371,,M,INSTAGRAM,,,430,68,33,98,moderate,NEUTRAL,5,,
1922,17.0,FEMALE,TIKTOK,550.0,23.0,123,65,83,12,SEVERE,DEPRESSED,9,20.0,8.0
1250,40.0,F,Instagram,43.0,0.0,307,95,97,38,Low,Calm,2,70.0,3.0
1549,46.0,male,TikTok,274.0,7.0,143,68,111,108,high,Envious,7,56.0,6.0
1433,22.0,FEMALE,Instagram,75.0,4.0,12,13,118,49,moderate,Neutral,3,57.0,3.0
1970,53.0,Male,YouTube,667.0,17.0,163,99,74,31,SEVERE,Anxious,9,34.0,8.0
1508,44.0,NON-BINARY,LinkedIn,293.0,16.0,166,43,40,15,,Anxious,8,43.0,8.0
1034,52.0,MALE,instagram,52.0,1.0,448,5,35,9,LOW,Motivated,2,76.0,1.0
1205,17.0,Non-Binary,instagram,28.0,1.0,137,84,42,96,low,Inspired,3,83.0,1.0
1890,22.0,,,453.0,19.0,115,91,17,42,SEVERE,,8,35.0,9.0
1589,19.0,Non-Binary,Snapchat,227.0,12.0,301,47,65,22,HIGH,Stressed,7,47.0,7.0
1731,14.0,female,TIKTOK,195.0,9.0,320,30,37,14,High,ANXIOUS,7,41.0,8.0
1078,58.0,Non-Binary,INSTAGRAM,40.0,0.0,117,57,107,94,low,Motivated,2,73.0,1.0
1085,58.0,F,LinkedIn,10.0,1.0,347,33,87,5,Low,Motivated,2,79.0,3.0
1306,21.0,MALE,Facebook,135.0,4.0,387,45,79,57,moderate,NEUTRAL,4,59.0,4.0
1083,16.0,Male,Facebook,39.0,2.0,114,57,24,78,Low,Calm,3,95.0,1.0
1449,18.0,F,YOUTUBE,134.0,7.0,136,29,87,6,Moderate,Calm,4,77.0,4.0
1998,13.0,MALE,TikTok,363.0,12.0,59,29,145,107,SEVERE,Anxious,9,22.0,8.0
1752,41.0,NON-BINARY,Facebook,515.0,12.0,199,61,72,65,severe,Depressed,8,40.0,8.0
1532,23.0,female,INSTAGRAM,265.0,16.0,96,10,134,57,high,Stressed,6,49.0,6.0
1324,56.0,NON-BINARY,FACEBOOK,104.0,5.0,386,55,31,54,Moderate,Bored,4,57.0,4.0
1496,51.0,Male,Snapchat,130.0,4.0,329,46,9,13,moderate,Neutral,5,60.0,3.0
1911,45.0,Female,LinkedIn,599.0,10.0,89,94,62,65,severe,Depressed,8,28.0,8.0
1006,24.0,female,LinkedIn,55.0,1.0,268,77,88,109,Low,Happy,2,79.0,2.0
1426,38.0,NON-BINARY,Facebook,72.0,1.0,141,55,109,41,Moderate,NEUTRAL,3,62.0,3.0
1491,39.0,Female,Snapchat,62.0,2.0,362,19,39,47,moderate,NEUTRAL,4,60.0,3.0
1098,44.0,female,FACEBOOK,45.0,1.0,186,34,68,60,Low,Happy,3,99.0,2.0
1930,14.0,F,LinkedIn,569.0,16.0,219,71,10,15,severe,DEPRESSED,8,37.0,9.0
1423,23.0,female,TIKTOK,99.0,5.0,304,58,13,67,MODERATE,NEUTRAL,3,59.0,3.0
